station_id	capacity	curUsable	targetUsable	curBroken
476	18	4	8	9
221	23	17	23	5
73	27	15	18	3
488	31	0	13	29
283	39	6	21	6
398	31	3	17	3
329	19	5	15	13
455	14	9	4	4
195	27	7	2	12
352	25	12	11	6
137	55	2	14	51
128	28	26	28	0
141	49	30	24	4
228	57	1	15	28
406	59	9	15	48
384	35	24	18	1
31	31	9	8	21
167	30	20	19	8
377	31	22	24	3
516	14	11	7	0
111	27	23	26	3
60	27	9	5	2
363	28	3	2	16
277	51	1	2	42
64	27	3	3	14
403	47	2	23	37
196	31	20	30	0
483	45	16	27	28
364	18	6	6	1
44	23	14	20	5
58	24	14	21	1
115	36	29	23	5
480	55	2	5	49
392	27	24	25	2
101	27	12	15	1
372	27	11	10	15
437	63	47	50	6
281	39	2	17	0
421	47	24	42	2
457	18	9	10	5
240	25	13	12	3
238	31	11	25	9
235	47	5	19	14
376	24	17	22	6
474	18	8	8	0
334	23	17	10	5
210	31	2	15	8
162	31	13	9	4
293	30	7	5	5
53	39	6	1	14
461	18	7	8	4
357	36	12	19	23
92	36	28	33	1
156	31	21	20	4
118	27	25	27	1
417	37	8	16	0
295	38	5	6	0
303	24	11	9	7
95	23	17	14	4
345	33	3	13	24
482	14	8	9	4
183	42	3	3	3
28	23	6	14	14
67	19	13	13	2
57	27	21	23	1
490	25	13	11	5
479	39	17	15	19
83	37	36	37	0
320	18	9	18	0
290	29	10	8	17
515	26	0	26	14
346	24	18	10	2
454	18	9	12	2
199	47	2	4	14
164	32	19	5	0
214	39	27	32	5
127	23	18	21	0
32	37	9	1	20
262	45	39	37	0
260	30	27	30	2
360	31	5	5	16
271	35	24	32	0
487	39	1	1	37
269	27	7	20	0
371	27	7	19	2
481	39	15	6	16
441	59	32	41	22
250	49	9	6	1
427	43	9	24	9
489	33	20	31	5
96	29	2	4	0
197	39	35	38	3
146	39	23	23	1
184	31	15	13	8
105	35	12	20	6
122	23	13	15	2
39	31	8	3	14
20	35	6	16	5
473	22	11	15	10
191	39	6	7	26
150	43	6	17	24
440	63	32	52	21
257	36	0	10	5
124	27	23	23	2
21	47	5	11	9
1	39	21	33	16
301	12	9	7	0
248	59	10	8	23
386	30	14	30	9
97	43	5	15	21
42	31	12	7	16
46	23	2	1	8
291	39	7	13	1
139	43	32	42	6
379	25	9	15	13
198	27	13	7	12
429	51	20	20	2
278	51	5	7	9
439	43	26	36	8
436	27	17	27	9
